state,x,y
Algeria,-135.0,220.0
Angola,-7.0,-151.0
Benin,-143.0,65.0
Botswana,52.0,-227.0
Burkina Faso,-180.0,82.0
Burundi,109.0,-67.0
Cabo Verde,-330.0,113.0
Cameroon,-54.0,10.0
Central African Republic,23.0,34.0
Chad,-8.0,102.0
Comoros,237.0,-149.0
Congo,-24.0,-31.0
Coted'Ivoire,-220.0,42.0
Djibouti,225.0,78.0
DRCongo,45.0,-64.0
Egypt,94.0,221.0
Equatorial Guinea,-73.0,-22.0
Eritrea,177.0,112.0
Eswatini,117.0,-280.0
Ethiopia,200.0,37.0
Gabon,-61.0,-38.0
Gambia,-309.0,95.0
Ghana,-182.0,30.0
Guinea,-257.0,67.0
Guinea-Bissau,-303.0,81.0
Kenya,185.0,-32.0
Lesotho,86.0,-307.0
Liberia,-256.0,25.0
Libya,-7.0,215.0
Madagascar,254.0,-216.0
Malawi,143.0,-161.0
Mali,-176.0,151.0
Mauritania,-202.0,154.0
Mauritius,-246.0,157.0
Morocco,-200.0,263.0
Mozambique,180.0,-170.0
Namibia,-10.0,-212.0
Niger,-79.0,133.0
Nigeria,-105.0,55.0
Rwanda,109.0,-52.0
SaoTome & Principe,-111.0,-26.0
Senegal,-299.0,112.0
Seychelles,301.0,-85.0
Sierra Leone,-288.0,45.0
Somalia,264.0,56.0
South Africa,19.0,-318.0
South Sudan,94.0,31.0
Sudan,82.0,135.0
Tanzania,139.0,-83.0
Togo,-155.0,47.0
Tunisia,-68.0,291.0
Uganda,138.0,-16.0
Zambia,56.0,-175.0
Zimbabwe,93.0,-214.0
